"","dept.id","dept.name","dept.path","cat.id","cat.name","cat.path","subcat.id","subcat.name","subcat.path"
"1","1334134","Arts, Crafts & Sewing","Arts, Crafts & Sewing","1334134_5899871","Art & Drawing Supplies","Arts, Crafts & Sewing/Art & Drawing Supplies","1334134_5899871_9677556","Sketchbooks & Paper","Arts, Crafts & Sewing/Art & Drawing Supplies/Sketchbooks & Paper"
"2","1334134","Arts, Crafts & Sewing","Arts, Crafts & Sewing","1334134_4533160","Beading & Jewelry Making","Arts, Crafts & Sewing/Beading & Jewelry Making","1334134_4533160_1930838","Pendants and Charms","Arts, Crafts & Sewing/Beading & Jewelry Making/Pendants and Charms"
"3","1334134","Arts, Crafts & Sewing","Arts, Crafts & Sewing","1334134_4665549","Bernat","Arts, Crafts & Sewing/Bernat",NA,NA,NA
"4","1334134","Arts, Crafts & Sewing","Arts, Crafts & Sewing","1334134_2022582","Brother","Arts, Crafts & Sewing/Brother","1334134_2022582_6995319","Brother","Arts, Crafts & Sewing/Brother Brand Shop/Brother"
"5","1334134","Arts, Crafts & Sewing","Arts, Crafts & Sewing","1334134_6355365","Craft Furniture & Storage","Arts, Crafts & Sewing/Craft Furniture & Storage","1334134_6355365_1285843","Craft Storage","Arts, Crafts & Sewing/Craft Furniture & Storage/Craft Storage"
"6","1334134","Arts, Crafts & Sewing","Arts, Crafts & Sewing","1334134_6172404","Crafting","Arts, Crafts & Sewing/Crafting","1334134_6172404_4705167","Wood Crafting","Arts, Crafts & Sewing/Crafting/Wood Crafting"
"7","1334134","Arts, Crafts & Sewing","Arts, Crafts & Sewing","1334134_2167791","Crayola","Arts, Crafts & Sewing/Crayola",NA,NA,NA
"8","1334134","Arts, Crafts & Sewing","Arts, Crafts & Sewing","1334134_9799587","Cricut","Arts, Crafts & Sewing/Cricut",NA,NA,NA
"9","1334134","Arts, Crafts & Sewing","Arts, Crafts & Sewing","1334134_4715618","David Textiles","Arts, Crafts & Sewing/David Textiles",NA,NA,NA
"10","1334134","Arts, Crafts & Sewing","Arts, Crafts & Sewing","1334134_4232946","Fabric","Arts, Crafts & Sewing/Fabric","1334134_4232946_9270165","Utility Fabric","Arts, Crafts & Sewing/Fabric/Utility Fabric"
"11","1334134","Arts, Crafts & Sewing","Arts, Crafts & Sewing","1334134_6528012","Fairfield","Arts, Crafts & Sewing/Fairfield",NA,NA,NA
"12","1334134","Arts, Crafts & Sewing","Arts, Crafts & Sewing","1334134_4880989","Knitting & Crochet","Arts, Crafts & Sewing/Knitting & Crochet","1334134_4880989_3031053","Knitting Tools and Supplies","Arts, Crafts & Sewing/Knitting & Crochet/Knitting Tools and Supplies"
"13","1334134","Arts, Crafts & Sewing","Arts, Crafts & Sewing","1334134_5522221","Lion Brand","Arts, Crafts & Sewing/Lion Brand",NA,NA,NA
"14","1334134","Arts, Crafts & Sewing","Arts, Crafts & Sewing","1334134_3540724","Pellon","Arts, Crafts & Sewing/Pellon",NA,NA,NA
"15","1334134","Arts, Crafts & Sewing","Arts, Crafts & Sewing","1334134_7616708","Red Heart Yarn","Arts, Crafts & Sewing/Red Heart Yarn","1334134_7616708_4597651","Red Heart","Arts, Crafts & Sewing/Red Heart Yarn/Red Heart"
"16","1334134","Arts, Crafts & Sewing","Arts, Crafts & Sewing","1334134_8495017","Scrapbooking","Arts, Crafts & Sewing/Scrapbooking","1334134_8495017_5211307","Stickers","Arts, Crafts & Sewing/Scrapbooking/Stickers"
"17","1334134","Arts, Crafts & Sewing","Arts, Crafts & Sewing","1334134_1094704","Sewing","Arts, Crafts & Sewing/Sewing","1334134_1094704_6335431","Trims & Embellishments","Arts, Crafts & Sewing/Sewing/Trims & Embellishments"
"18","1334134","Arts, Crafts & Sewing","Arts, Crafts & Sewing","1334134_5186406","Silhouette","Arts, Crafts & Sewing/Silhouette",NA,NA,NA
"19","1334134","Arts, Crafts & Sewing","Arts, Crafts & Sewing","1334134_6868418","Singer","Arts, Crafts & Sewing/Singer","1334134_6868418_1812624","Singer Sewing Machines","Arts, Crafts & Sewing/Singer/Singer Sewing Machines"
"20","1334134","Arts, Crafts & Sewing","Arts, Crafts & Sewing","1334134_5007258","Spinrite","Arts, Crafts & Sewing/Spinrite",NA,NA,NA
